StanleyDruckenmiller|2026.06.11 at 12:04 (UTC+07:00) 
JonathanGray|2030.05.25 at 12:22 (UTC+07:00) 
JamesGoodnight|2024.05.25 at 03:05 (UTC+07:00) 
BrianArmstrong|2022.10.02 at 10:08 (UTC+07:00) 
PatrickDrahi|2025.08.03 at 19:39 (UTC+07:00) 
ScottDuncan|2025.06.08 at 17:21 (UTC+07:00) 
ChenJianhua|2025.06.11 at 10:24 (UTC+07:00) 
JohnGrayken|2023.05.04 at 14:48 (UTC+07:00) 
PhilippeLaffont|2025.06.11 at 05:51 (UTC+07:00) 
CliffObrecht|2028.01.19 at 23:07 (UTC+07:00) 
JohnOverdeck|2026.11.11 at 12:41 (UTC+07:00) 
MelaniePerkins|2027.01.03 at 23:01 (UTC+07:00) 
DavidSiegel|2031.09.12 at 23:55 (UTC+07:00) 
DavidVelez|2024.05.04 at 06:16 (UTC+07:00) 
JackDangermond|2024.10.08 at 01:53 (UTC+07:00) 
OrlandoBravo|2022.09.30 at 22:34 (UTC+07:00) 
BobbyMurphy|2023.05.05 at 00:27 (UTC+07:00) 
MelindaFrenchGates|2023.04.27 at 16:55 (UTC+07:00) 
BruceKovner|2023.04.17 at 17:52 (UTC+07:00) 
PhamNhatVuong|2023.05.04 at 09:43 (UTC+07:00) 
MichalSolowow|2023.05.21 at 23:08 (UTC+07:00) 
RoccoCommisso|2026.10.08 at 13:28 (UTC+07:00) 
JackDorsey|2024.08.30 at 06:45 (UTC+07:00) 
LinLi|2026.12.29 at 14:55 (UTC+07:00) 
GeorgeLucas|2023.05.05 at 00:27 (UTC+07:00) 
EvanSpiegel|2024.09.28 at 13:55 (UTC+07:00) 
ZhaoYan|2032.01.06 at 21:07 (UTC+07:00) 
TomGores|2031.09.13 at 00:14 (UTC+07:00) 
LeoKoguan|2031.11.25 at 03:21 (UTC+07:00) 
JohnMorris|2023.03.14 at 21:53 (UTC+07:00) 
JianJun|2022.09.12 at 10:55 (UTC+07:00) 
BarryLam|2027.05.07 at 09:26 (UTC+07:00) 
MichaelMoritz|2024.07.07 at 19:22 (UTC+07:00) 
GaryWang|2024.04.05 at 13:32 (UTC+07:00) 
AndreEsteves|2036.09.10 at 10:23 (UTC+07:00) 
JoshuaHarris|2031.09.13 at 00:34 (UTC+07:00) 
RakeshJhunjhunwala|2022.09.22 at 21:43 (UTC+07:00) 
KenLangone|2023.05.28 at 11:56 (UTC+07:00) 
SandraOrtegaMera|2027.12.15 at 07:24 (UTC+07:00) 
KarenPritzker|2023.05.28 at 13:44 (UTC+07:00) 
StevenRales|2024.06.08 at 10:51 (UTC+07:00) 
JosephTsai|2022.06.09 at 15:07 (UTC+07:00) 
CarlBennet|2025.02.26 at 14:08 (UTC+07:00) 
RobertKraft|2023.10.08 at 20:11 (UTC+07:00) 
ManuelVillar|2027.02.09 at 10:44 (UTC+07:00) 
MarieBesnierBeauvalot|2025.06.08 at 17:24 (UTC+07:00) 
GustafDouglas|2022.08.13 at 00:33 (UTC+07:00) 
StephenRoss|2026.12.10 at 10:14 (UTC+07:00) 
MarcBenioff|2033.08.19 at 13:25 (UTC+07:00) 
IgorBukhman|2024.05.04 at 08:13 (UTC+07:00) 
MuraliDivi|2023.06.18 at 23:56 (UTC+07:00) 
NancyWaltonLaurie|2023.06.20 at 18:51 (UTC+07:00) 
